ID,ESN,MTH,DAY,HR_GMT,MIN,YEARDAY,LON,LAT,DEPTH
246400711,4536410,6,8,22,40,159.9444444,-70.4035,41.12936,-1
246400711,4536410,6,8,23,30,159.9791667,-70.40041,41.12848,-1
246400711,4536410,6,8,22,40,159.9444444,-70.4035,41.12936,-1
246400711,4536410,6,8,23,30,159.9791667,-70.40041,41.12848,-1
246400711,4536410,6,9,0,27,160.01875,-70.3956,41.12789,-1
246400711,4536410,6,9,1,29,160.0618056,-70.38906,41.12693,-1
246400711,4536410,6,9,0,27,160.01875,-70.3956,41.12789,-1
246400711,4536410,6,9,1,29,160.0618056,-70.38906,41.12693,-1
246400711,4536410,6,9,2,27,160.1020833,-70.37751,41.12407,-1
246400711,4536410,6,9,3,24,160.1416667,-70.36438,41.11915,-1
246400711,4536410,6,9,2,27,160.1020833,-70.37751,41.12407,-1
246400711,4536410,6,9,3,24,160.1416667,-70.36438,41.11915,-1
246400711,4536410,6,9,4,30,160.1875,-70.35125,41.11091,-1
246400711,4536410,6,9,5,40,160.2361111,-70.3435,41.10087,-1
246400711,4536410,6,9,4,30,160.1875,-70.35125,41.11091,-1
246400711,4536410,6,9,5,40,160.2361111,-70.3435,41.10087,-1
246400711,4536410,6,9,6,47,160.2826389,-70.34672,41.09217,-1
246400711,4536410,6,9,7,37,160.3173611,-70.35698,41.08571,-1
246400711,4536410,6,9,6,47,160.2826389,-70.34672,41.09217,-1
246400711,4536410,6,9,7,37,160.3173611,-70.35698,41.08571,-1
246400711,4536410,6,9,8,29,160.3534722,-70.37161,41.08221,-1
246400711,4536410,6,9,9,34,160.3986111,-70.39318,41.08218,-1
246400711,4536410,6,9,10,28,160.4361111,-70.41069,41.08592,-1
246400711,4536410,6,9,10,28,160.4361111,-70.41069,41.08592,-1
246400711,4536410,6,9,11,18,160.4708333,-70.42395,41.09208,-1
246400711,4536410,6,9,12,13,160.5090278,-70.43407,41.10147,-1
246400711,4536410,6,9,11,18,160.4708333,-70.42395,41.09208,-1
246400711,4536410,6,9,12,13,160.5090278,-70.43407,41.10147,-1
246400711,4536410,6,9,13,18,160.5541667,-70.43697,41.11364,-1
246400711,4536410,6,9,14,23,160.5993056,-70.43148,41.12719,-1
246400711,4536410,6,9,13,18,160.5541667,-70.43697,41.11364,-1
246400711,4536410,6,9,14,23,160.5993056,-70.43148,41.12719,-1
246400711,4536410,6,9,16,42,160.6958333,-70.40045,41.14823,-1
246400711,4536410,6,9,16,42,160.6958333,-70.40045,41.14823,-1
246400711,4536410,6,9,17,45,160.7395833,-70.38056,41.15241,-1
246400711,4536410,6,9,18,35,160.7743056,-70.36438,41.15165,-1
246400711,4536410,6,9,17,45,160.7395833,-70.38056,41.15241,-1
246400711,4536410,6,9,18,35,160.7743056,-70.36438,41.15165,-1
246400711,4536410,6,9,19,27,160.8104167,-70.35299,41.1477,-1
246400711,4536410,6,9,20,25,160.8506944,-70.34554,41.14069,-1
246400711,4536410,6,9,19,27,160.8104167,-70.35299,41.1477,-1
246400711,4536410,6,9,20,25,160.8506944,-70.34554,41.14069,-1
246400711,4536410,6,9,21,19,160.8881944,-70.34288,41.13266,-1
246400711,4536410,6,9,22,16,160.9277778,-70.34509,41.12348,-1
246400711,4536410,6,9,21,19,160.8881944,-70.34288,41.13266,-1
246400711,4536410,6,9,22,16,160.9277778,-70.34509,41.12348,-1
246400711,4536410,6,9,23,25,160.9756944,-70.35136,41.11335,-1
246400711,4536410,6,10,0,23,161.0159722,-70.35792,41.10441,-1
246400711,4536410,6,10,1,20,161.0555556,-70.36236,41.09834,-1
246400711,4536410,6,10,1,20,161.0555556,-70.36236,41.09834,-1
246400711,4536410,6,10,2,21,161.0979167,-70.36599,41.09466,-1
246400711,4536410,6,10,3,26,161.1430556,-70.36775,41.09291,-1
246400711,4536410,6,10,2,21,161.0979167,-70.36599,41.09466,-1
246400711,4536410,6,10,3,26,161.1430556,-70.36775,41.09291,-1
246400711,4536410,6,10,4,20,161.1805556,-70.367,41.09271,-1
246400711,4536410,6,10,5,14,161.2180556,-70.36496,41.09308,-1
246400711,4536410,6,10,6,10,161.2569444,-70.36365,41.0938,-1
246400711,4536410,6,10,4,20,161.1805556,-70.367,41.09271,-1
246400711,4536410,6,10,5,14,161.2180556,-70.36496,41.09308,-1
246400711,4536410,6,10,6,10,161.2569444,-70.36365,41.0938,-1
246400711,4536410,6,10,7,6,161.2958333,-70.3653,41.0932,-1
246400711,4536410,6,10,7,6,161.2958333,-70.3653,41.0932,-1
246400711,4536410,6,10,8,14,161.3430556,-70.37232,41.09211,-1
246400711,4536410,6,10,9,15,161.3854167,-70.38137,41.09217,-1
246400711,4536410,6,10,8,14,161.3430556,-70.37232,41.09211,-1
246400711,4536410,6,10,9,15,161.3854167,-70.38137,41.09217,-1
246400711,4536410,6,10,10,20,161.4305556,-70.39275,41.09332,-1
246400711,4536410,6,10,11,19,161.4715278,-70.40792,41.09785,-1
246400711,4536410,6,10,10,20,161.4305556,-70.39275,41.09332,-1
246400711,4536410,6,10,11,19,161.4715278,-70.40792,41.09785,-1
246400711,4536410,6,10,12,14,161.5097222,-70.41699,41.10238,-1
246400711,4536410,6,10,13,14,161.5513889,-70.42212,41.10438,-1
246400711,4536410,6,10,12,14,161.5097222,-70.41699,41.10238,-1
246400711,4536410,6,10,13,14,161.5513889,-70.42212,41.10438,-1
246400711,4536410,6,10,14,12,161.5916667,-70.42281,41.10519,-1
246400711,4536410,6,10,15,9,161.63125,-70.42041,41.10485,-1
246400711,4536410,6,10,14,12,161.5916667,-70.42281,41.10519,-1
246400711,4536410,6,10,15,9,161.63125,-70.42041,41.10485,-1
246400711,4536410,6,10,16,10,161.6736111,-70.41556,41.10277,-1
246400711,4536410,6,10,17,8,161.7138889,-70.40936,41.09982,-1
246400711,4536410,6,10,18,4,161.7527778,-70.40494,41.09634,-1
246400711,4536410,6,10,16,10,161.6736111,-70.41556,41.10277,-1
246400711,4536410,6,10,17,8,161.7138889,-70.40936,41.09982,-1
246400711,4536410,6,10,18,4,161.7527778,-70.40494,41.09634,-1
246400711,4536410,6,10,19,7,161.7965278,-70.40197,41.09187,-1
246400711,4536410,6,10,20,9,161.8395833,-70.40292,41.08697,-1
246400711,4536410,6,10,19,7,161.7965278,-70.40197,41.09187,-1
246400711,4536410,6,10,20,9,161.8395833,-70.40292,41.08697,-1
246400711,4536410,6,10,21,14,161.8847222,-70.41028,41.08349,-1
246400711,4536410,6,10,21,14,161.8847222,-70.41028,41.08349,-1
246400711,4536410,6,10,22,17,161.9284722,-70.42122,41.08111,-1
246400711,4536410,6,10,23,35,161.9826389,-70.43206,41.08079,-1
